Year,Production,Unit
1850,0.495,Mt
1851,0.516882353,Mt
1852,0.537934354,Mt
1853,0.559946328,Mt
1854,0.588764706,Mt
1855,0.629990428,Mt
1856,0.672295997,Mt
1857,0.709882353,Mt
1858,0.720059172,Mt
1859,0.722704351,Mt
1860,0.723285068,Mt
1861,0.738588235,Mt
1862,0.784344727,Mt
1863,0.831314932,Mt
1864,0.854470588,Mt
1865,0.876833971,Mt
1866,0.924915837,Mt
1867,0.992714793,Mt
1868,0.997176471,Mt
1869,0.97079631,Mt
1870,0.963129133,Mt
1871,1.038470588,Mt
1872,1.253321963,Mt
1873,1.404420466,Mt
1874,1.429056039,Mt
1875,1.43,Mt
1876,1.259545701,Mt
1877,1.026234842,Mt
1878,0.967235294,Mt
1879,0.762905325,Mt
1880,0.66790985,Mt
1881,0.846227637,Mt
1882,1.111058824,Mt
1883,1.280490915,Mt
1884,1.369088757,Mt
1885,1.48,Mt
1886,1.515812739,Mt
1887,1.514035503,Mt
1888,1.518235294,Mt
1889,1.63199095,Mt
1890,1.782488688,Mt
1891,1.889284372,Mt
1892,1.73,Mt
1893,1.541719457,Mt
1894,1.337119875,Mt
1895,1.024529412,Mt
1896,0.983448173,Mt
1897,1.098887261,Mt
1898,1.252346676,Mt
1899,1.409411765,Mt
1900,1.564705882,Mt
1901,1.772189349,Mt
1902,2.122352941,Mt
1903,2.145606335,Mt
1904,2.057745214,Mt
1905,2.109977376,Mt
1906,2.272941176,Mt
1907,2.403745214,Mt
1908,2.478919596,Mt
1909,2.551176471,Mt
1910,2.597580926,Mt
1911,2.583559694,Mt
1912,2.494790115,Mt
1913,2.295294118,Mt
1914,2.053769579,Mt
1915,1.883438914,Mt
1916,1.985882353,Mt
1917,2.139047337,Mt
1918,2.18443787,Mt
1919,2.160588235,Mt
1920,2.239578837,Mt
1921,2.376877828,Mt
1922,2.468439262,Mt
1923,2.532352941,Mt
1924,2.573452837,Mt
1925,2.599657153,Mt
1926,2.625882353,Mt
1927,2.735302471,Mt
1928,2.92361991,Mt
1929,3.119276018,Mt
1930,3.247058824,Mt
1931,3.261050122,Mt
1932,3.243679081,Mt
1933,3.331176471,Mt
1934,3.588683606,Mt
1935,3.876094675,Mt
1936,4.045239123,Mt
1937,4.143529412,Mt
1938,4.221251653,Mt
1939,4.286020536,Mt
1940,4.374705882,Mt
1941,4.501945701,Mt
1942,4.604343891,Mt
1943,4.610325792,Mt
1944,4.597647059,Mt
1945,4.699274278,Mt
1946,4.929963801,Mt
1947,5.25,Mt
1948,5.577746606,Mt
1949,5.813282283,Mt
1950,5.924893839,Mt
1951,6.116470588,Mt
1952,6.502508876,Mt
1953,6.797507832,Mt
1954,6.994117647,Mt
1955,7.006334842,Mt
1956,6.891743822,Mt
1957,7.015294118,Mt
1958,7.292233902,Mt
1959,7.367911591,Mt
1960,7.337305952,Mt
1961,7.304705882,Mt
1962,7.314589628,Mt
1963,7.286084233,Mt
1964,7.430588235,Mt
1965,7.648973199,Mt
1966,7.60925583,Mt
1967,7.601723982,Mt
1968,7.668823529,Mt
1969,7.807017751,Mt
1970,7.923049078,Mt
1971,7.969411765,Mt
1972,7.996101636,Mt
1973,8.203843369,Mt
1974,8.492068221,Mt
1975,8.795294118,Mt
1976,9.001818308,Mt
1977,9.142182388,Mt
1978,9.245882353,Mt
1979,9.339088409,Mt
1980,9.428371041,Mt
1981,9.479371041,Mt
1982,9.491764706,Mt
1983,9.545521058,Mt
1984,9.809780717,Mt
1985,10.29411765,Mt
1986,10.94319527,Mt
1987,11.35833971,Mt
1988,11.74705882,Mt
1989,12.18332057,Mt
1990,12.65485555,Mt
1991,13.0137835,Mt
1992,13.31764706,Mt
1993,13.61927602,Mt
1994,13.64669683,Mt
1995,13.67058824,Mt
1996,13.87784198,Mt
1997,14.45749391,Mt
1998,14.83887922,Mt
1999,15.01764706,Mt
2000,15.10619561,Mt
2001,15.32795336,Mt
2002,15.52941176,Mt
2003,15.62556213,Mt
2004,15.93651236,Mt
2005,16.1,Mt
2006,16.1,Mt
2007,16.12932127,Mt
2008,16.5315489,Mt
2009,17.22941176,Mt
2010,18.17104072,Mt
2011,18.37485555,Mt
2012,18.64747651,Mt
2013,19.15882353,Mt
2014,19.84724678,Mt
2015,20.05529064,Mt
2016,20.07058824,Mt
2017,20.34884789,Mt
