Year;Production;Unit
1965;64.72;EJ
1966;69.60;EJ
1967;74.59;EJ
1968;80.91;EJ
1969;87.60;EJ
1970;95.34;EJ
1971;100.72;EJ
1972;108.38;EJ
1973;117.08;EJ
1974;115.42;EJ
1975;114.15;EJ
1976;121.51;EJ
1977;125.71;EJ
1978;131.39;EJ
1979;133.46;EJ
1980;128.02;EJ
1981;123.46;EJ
1982;119.64;EJ
1983;118.75;EJ
1984;121.35;EJ
1985;121.43;EJ
1986;125.23;EJ
1987;127.74;EJ
1988;132.01;EJ
1989;134.17;EJ
1990;135.60;EJ
1991;135.67;EJ
1992;137.72;EJ
1993;137.03;EJ
1994;140.13;EJ
1995;142.37;EJ
1996;145.49;EJ
1997;149.37;EJ
1998;149.92;EJ
1999;152.69;EJ
2000;154.39;EJ
2001;155.73;EJ
2002;157.09;EJ
2003;160.58;EJ
2004;166.66;EJ
2005;168.15;EJ
2006;169.97;EJ
2007;172.23;EJ
2008;170.46;EJ
2009;167.12;EJ
2010;172.53;EJ
2011;174.19;EJ
2012;176.64;EJ
2013;178.54;EJ
2014;179.65;EJ
2015;183.63;EJ
2016;186.87;EJ
2017;189.50;EJ
2018;191.33;EJ
2019;191.89;EJ
2020;174.20;EJ
