Estimations,Oil endowments in Literature,Gb,EJ
Estimate 1,Laherrare et al. (2022) Reserves + Cumulative Extraction,2350.0,13423.2
Estimate 2,IEA Reserves + Cumulative Extraction,3353.0,19152.336
Estimate 3,BGR Reserves + Cumulative Extraction,3397.1694,19404.63161
Estimate 4,Mohr et al. (2015) Low Estimate of URR,3536.939776,20203.0
Estimate 5,Laherrare (2018) Ultimate Recoverable Resources (URR),3586.236105,20484.58063
Estimate 6,Laherrare (2023) Ultimate Recoverable Resources (URR),3800.0,21705.6
Estimate 7,Mohr et al. (2015) BG Estimate of URR,4393.557423,25096.0
Estimate 8,BG Laherrare et al. (2022) Ultimate Recoverable Resources (URR),5000.0,28560.0
Estimate 9,BGR Reserves + Resources + Cumulative Extraction,7070.78948,40388.34951
Estimate 10,Mohr et al. (2015) High Estimate of URR,7549.369748,43122.0
Estimate 11,IEA Resources* + Cumulative Extraction,7806.0,44587.872
