Year,Production,Unit
1900,0.8438495400000001,EJ
1901,0.8932956479999999,EJ
1902,0.988796556,EJ
1903,1.078645284,EJ
1904,1.2117855240000002,EJ
1905,1.204709832,EJ
1906,1.200229956,EJ
1907,1.496236716,EJ
1908,1.5983109,EJ
1909,1.6874897400000002,EJ
1910,1.842108264,EJ
1911,1.928523816,EJ
1912,1.938320928,EJ
1913,2.094069888,EJ
1914,2.198614284,EJ
1915,2.373371316,EJ
1916,2.50873056,EJ
1917,2.7694007280000004,EJ
1918,2.8322027280000004,EJ
1919,3.062811672,EJ
1920,3.662445168,EJ
1921,3.7694179080000003,EJ
1922,4.248011016,EJ
1923,5.163622308000001,EJ
1924,5.277628872,EJ
1925,6.00512724,EJ
1926,6.401114784000001,EJ
1927,6.751382472,EJ
1928,7.36520922,EJ
1929,8.13306834,EJ
1930,8.807310612,EJ
1931,8.182305108000001,EJ
1932,7.579489644,EJ
1933,7.927454592,EJ
1934,8.347055688000001,EJ
1935,9.399952152000001,EJ
1936,10.204613244,EJ
1937,10.98490716,EJ
1938,11.058301764,EJ
1939,11.910817980000001,EJ
1940,12.397114800000002,EJ
1941,13.080693636000001,EJ
1942,12.37534344,EJ
1943,13.102841808,EJ
1944,15.0494526,EJ
1945,14.922508824000001,EJ
1946,16.13299644,EJ
1947,17.748180144000003,EJ
1948,19.683486576,EJ
1949,19.473979104,EJ
1950,21.703408235999998,EJ
1951,24.371404668,EJ
1952,25.466001660000003,EJ
1953,26.921919492,EJ
1954,28.597602456000004,EJ
1955,31.941683352000002,EJ
1956,34.477335036,EJ
1957,36.231939180000005,EJ
1958,38.132704512000004,EJ
1959,41.161644972000005,EJ
1960,44.154076536000005,EJ
1961,47.00457558,EJ
1962,51.020679744,EJ
1963,54.998056008000006,EJ
1964,59.475671136,EJ
1965,63.63521506800001,EJ
1966,68.74759094400001,EJ
1967,73.373000112,EJ
1968,79.955403336,EJ
1969,86.368324896,EJ
1970,94.29117400800001,EJ
1971,99.94222357200002,EJ
1972,107.590837284,EJ
1973,116.65199358000001,EJ
1974,114.98983398000001,EJ
1975,114.30152406,EJ
1976,121.67992170000001,EJ
1977,126.347031396,EJ
1978,131.38517530800002,EJ
1979,133.195547628,EJ
1980,127.05418191600002,EJ
1981,122.20335543600001,EJ
1982,118.37691331200001,EJ
1983,117.87395302800002,EJ
1984,120.89460362400001,EJ
1985,119.30981608800002,EJ
1986,122.85038350800002,EJ
1987,125.176862664,EJ
1988,129.254638392,EJ
1989,131.00153882400002,EJ
1990,132.645611448,EJ
1991,132.362918712,EJ
1992,134.36446032,EJ
1993,133.35987952800002,EJ
1994,136.08523512000002,EJ
1995,137.337004584,EJ
1996,140.858145252,EJ
1997,144.170657676,EJ
1998,144.87215601600002,EJ
1999,147.19884451200002,EJ
2000,149.812370676,EJ
2001,151.170987276,EJ
2002,153.13953690000002,EJ
2003,157.02677136,EJ
2004,163.165373784,EJ
2005,165.79422363600003,EJ
2006,167.653539648,EJ
2007,169.72885267200002,EJ
2008,168.981634476,EJ
2009,165.494909304,EJ
2010,170.97940796400002,EJ
2011,172.65274632,EJ
2012,175.853596788,EJ
2013,178.502459544,EJ
2014,180.613276632,EJ
2015,183.186442044,EJ
2016,186.04548216,EJ
2017,188.81400366,EJ
2018,191.555771508,EJ
